Game	Host	Date	Teams	Result	Set1	Set2	Set3	Set4	Set5	Points	Time	Audience
1	ITA	25-Sep-2010	EGY-IRI	3-0	25-21	25-17	25-21	NA	NA	75-59	1:21	6250
2	ITA	25-Sep-2010	ITA-JPN	3-0	25-20	25-16	25-14	NA	NA	75-50	1:20	11800
3	ITA	25-Sep-2010	BRA-TUN	3-0	25-14	25-21	25-14	NA	NA	75-49	1:10	4700
4	ITA	25-Sep-2010	ESP-CUB	2-3	25-21	18-25	19-25	25-20	13-15	100-106	2:09	5600
5	ITA	25-Sep-2010	RUS-CMR	3-0	25-11	25-20	25-22	NA	NA	75-53	1:18	3216
6	ITA	25-Sep-2010	AUS-PUR	1-3	22-25	22-25	28-26	19-25	NA	91-101	1:53	2300
7	ITA	25-Sep-2010	VEN-ARG	0-3	23-25	17-25	18-25	NA	NA	58-75	1:20	1500
8	ITA	25-Sep-2010	USA-MEX	3-2	22-25	19-25	25-18	25-22	15-11	106-101	2:18	2600
9	ITA	25-Sep-2010	FRA-CZE	3-2	25-19	22-25	25-21	24-26	15-10	111-101	1:53	3200
10	ITA	25-Sep-2010	BUL-CHN	3-0	25-14	25-19	25-22	NA	NA	75-55	1:13	3800
11	ITA	25-Sep-2010	POL-CAN	3-0	25-22	25-21	25-13	NA	NA	75-56	1:25	5000
12	ITA	25-Sep-2010	GER-SRB	0-3	21-25	21-25	13-25	NA	NA	55-75	1:16	4750
13	ITA	26-Sep-2010	IRI-JPN	3-1	15-25	25-17	26-24	25-23	NA	91-89	1:55	2800
14	ITA	26-Sep-2010	EGY-ITA	0-3	20-25	17-25	23-25	NA	NA	60-75	1:18	8700
15	ITA	26-Sep-2010	TUN-CUB	0-3	18-25	15-25	15-25	NA	NA	48-75	1:08	5530
16	ITA	26-Sep-2010	BRA-ESP	3-1	30-28	21-25	25-20	25-19	NA	101-92	1:54	6350
17	ITA	26-Sep-2010	CMR-PUR	0-3	22-25	23-25	19-25	NA	NA	64-75	1:24	2961
18	ITA	26-Sep-2010	RUS-AUS	3-1	25-17	25-12	24-26	25-20	NA	99-75	1:41	3231
19	ITA	26-Sep-2010	ARG-MEX	3-1	25-12	25-19	17-25	25-15	NA	92-71	1:43	3800
20	ITA	26-Sep-2010	VEN-USA	0-3	19-25	23-25	19-25	NA	NA	61-75	1:23	3400
21	ITA	26-Sep-2010	CZE-CHN	3-1	25-21	19-25	25-18	25-22	NA	94-86	1:46	4600
22	ITA	26-Sep-2010	FRA-BUL	3-2	25-22	23-25	25-17	28-30	19-17	120-111	2:24	5000
23	ITA	26-Sep-2010	CAN-SRB	3-1	25-20	25-22	17-25	25-23	NA	92-90	1:55	6540
24	ITA	26-Sep-2010	POL-GER	3-2	25-20	21-25	25-22	22-25	15-13	108-105	2:17	5980
25	ITA	27-Sep-2010	JPN-EGY	3-2	32-34	23-25	25-19	25-17	15-13	120-108	2:24	1500
26	ITA	27-Sep-2010	ITA-IRI	3-2	25-21	25-10	21-25	26-28	15-13	112-97	2:19	6500
27	ITA	27-Sep-2010	ESP-TUN	3-1	25-23	25-22	25-27	25-23	NA	100-95	1:56	4000
28	ITA	27-Sep-2010	CUB-BRA	3-2	34-32	18-25	23-25	25-21	15-12	115-115	2:21	6350
29	ITA	27-Sep-2010	AUS-CMR	1-3	25-21	22-25	21-25	19-25	NA	87-96	1:49	1659
30	ITA	27-Sep-2010	PUR-RUS	2-3	25-21	14-25	21-25	25-23	11-15	96-109	2:03	3313
31	ITA	27-Sep-2010	MEX-VEN	3-0	25-22	25-20	25-20	NA	NA	75-62	1:26	2900
32	ITA	27-Sep-2010	USA-ARG	3-1	22-25	27-25	25-22	25-20	NA	99-92	2:10	4600
33	ITA	27-Sep-2010	BUL-CZE	1-3	23-25	25-27	30-28	25-27	NA	103-107	2:08	1850
34	ITA	27-Sep-2010	CHN-FRA	0-3	17-25	20-25	19-25	NA	NA	56-75	1:10	2500
35	ITA	27-Sep-2010	GER-CAN	3-0	27-25	25-22	25-20	NA	NA	77-67	1:32	4120
36	ITA	27-Sep-2010	SRB-POL	1-3	19-25	18-25	25-21	23-25	NA	85-96	1:43	6600
37	ITA	30-Sep-2010	PUR-GER	0-3	22-25	22-25	18-25	NA	NA	62-75	1:22	2000
