Game	Host	Date	Teams	Result	Set1	Set2	Set3	Set4	Set5	Points	Time	Audience
1	JPN	20-Nov-2011	SRB-ARG	0-3	20-25	13-25	18-25	NA	NA	51-75	1:09	1240
2	JPN	20-Nov-2011	POL-CUB	3-0	25-21	25-23	25-16	NA	NA	75-60	1:19	2610
3	JPN	20-Nov-2011	IRI-JPN	3-1	17-25	25-20	25-23	25-15	NA	92-83	2:05	6190
4	JPN	20-Nov-2011	CHN-USA	0-3	14-25	23-25	21-25	NA	NA	58-75	1:22	4000
5	JPN	20-Nov-2011	ITA-RUS	1-3	25-22	22-25	22-25	21-25	NA	90-97	1:56	4800
6	JPN	20-Nov-2011	EGY-BRA	0-3	19-25	13-25	19-25	NA	NA	51-75	1:15	3500
7	JPN	21-Nov-2011	CUB-IRI	3-0	25-17	25-17	25-22	NA	NA	75-56	1:10	290
8	JPN	21-Nov-2011	SRB-POL	1-3	25-21	18-25	19-25	28-30	NA	90-101	1:47	730
9	JPN	21-Nov-2011	ARG-JPN	3-2	25-22	21-25	11-25	25-15	15-12	97-99	2:19	3730
10	JPN	21-Nov-2011	EGY-ITA	0-3	22-25	15-25	20-25	NA	NA	57-75	1:18	4000
11	JPN	21-Nov-2011	BRA-USA	3-1	25-17	25-18	16-25	25-16	NA	91-76	1:46	3000
12	JPN	21-Nov-2011	RUS-CHN	3-0	25-18	25-20	25-18	NA	NA	75-56	1:17	2500
13	JPN	22-Nov-2011	IRI-SRB	3-2	25-17	18-25	21-25	25-21	15-11	104-99	2:02	260
14	JPN	22-Nov-2011	POL-ARG	3-1	18-25	25-20	25-23	25-22	NA	93-90	1:46	705
15	JPN	22-Nov-2011	JPN-CUB	0-3	21-25	23-25	22-25	NA	NA	66-75	1:34	4380
16	JPN	22-Nov-2011	CHN-EGY	0-3	20-25	20-25	18-25	NA	NA	58-75	1:13	2300
17	JPN	22-Nov-2011	ITA-BRA	3-2	25-16	20-25	18-25	25-21	22-20	110-107	2:21	5000
18	JPN	22-Nov-2011	USA-RUS	0-3	18-25	18-25	24-26	NA	NA	60-76	1:22	4000
19	JPN	24-Nov-2011	ARG-CUB	3-1	17-25	25-16	25-21	25-17	NA	92-79	1:36	710
20	JPN	24-Nov-2011	POL-IRI	2-3	25-23	26-28	25-8	24-26	11-15	111-100	2:16	1240
21	JPN	24-Nov-2011	SRB-JPN	3-2	25-21	25-22	18-25	22-25	15-12	105-105	2:18	5010
22	JPN	24-Nov-2011	EGY-USA	0-3	19-25	20-25	20-25	NA	NA	59-75	1:26	1500
23	JPN	24-Nov-2011	BRA-RUS	3-0	25-16	25-19	25-22	NA	NA	75-57	1:22	2500
24	JPN	24-Nov-2011	ITA-CHN	3-0	25-10	25-18	25-14	NA	NA	75-42	1:09	2000
25	JPN	25-Nov-2011	IRI-ARG	3-2	15-25	25-21	24-26	25-16	15-12	104-100	2:03	540
26	JPN	25-Nov-2011	CUB-SRB	3-1	17-25	25-21	25-22	25-17	NA	92-85	1:39	1460
27	JPN	25-Nov-2011	JPN-POL	1-3	25-23	21-25	19-25	18-25	NA	83-98	2:07	8000
28	JPN	25-Nov-2011	RUS-EGY	3-1	25-18	25-17	23-25	25-9	NA	98-69	1:36	1350
