Game	Host	Date	Teams	Result	Set1	Set2	Set3	Set4	Set5	Points	Time	Audience
1	JPN	18-May-2012	RUS-SRB	3-2	25-21	25-22	19-25	20-25	15-9	104-102	2:07	800
2	JPN	18-May-2012	JPN-CUB	0-3	22-25	26-28	20-25	NA	NA	68-78	1:27	1810
3	JPN	19-May-2012	CUB-SRB	1-3	19-25	25-20	25-27	25-27	NA	94-99	1:46	1110
4	JPN	19-May-2012	JPN-RUS	2-3	25-20	23-25	16-25	25-19	12-15	101-104	2:15	2050
5	JPN	20-May-2012	JPN-SRB	2-3	25-22	21-25	27-25	19-25	12-15	104-112	2:18	2500
6	JPN	20-May-2012	CUB-RUS	3-2	23-25	25-17	25-20	18-25	15-10	106-97	2:10	1210
7	CAN	18-May-2012	CAN-FIN	3-0	33-31	26-24	25-23	NA	NA	84-78	1:44	2900
8	CAN	18-May-2012	BRA-POL	2-3	22-25	25-27	27-25	25-22	12-15	111-114	2:33	7500
9	CAN	19-May-2012	CAN-BRA	3-2	25-23	20-25	25-20	24-26	15-10	109-104	2:27	8100
10	CAN	19-May-2012	POL-FIN	2-3	25-23	23-25	21-25	25-22	9-15	103-110	2:17	2800
11	CAN	20-May-2012	BRA-FIN	3-1	23-25	25-13	25-22	31-29	NA	104-89	2:01	1700
12	CAN	20-May-2012	CAN-POL	1-3	25-17	19-25	21-25	19-25	NA	84-92	1:57	4200
13	ITA	18-May-2012	USA-FRA	1-3	25-17	20-25	24-26	17-25	NA	86-93	1:58	2100
14	ITA	18-May-2012	KOR-ITA	2-3	26-24	25-27	25-21	27-29	16-18	119-119	2:34	3700
15	ITA	19-May-2012	KOR-USA	2-3	25-20	25-18	17-25	23-25	15-17	105-105	2:30	5100
16	ITA	19-May-2012	FRA-ITA	1-3	25-20	22-25	21-25	22-25	NA	90-95	1:57	5500
17	ITA	20-May-2012	FRA-KOR	3-2	25-18	24-26	25-20	21-25	15-11	110-100	2:14	4500
18	ITA	20-May-2012	USA-ITA	0-3	16-25	20-25	16-25	NA	NA	52-75	1:27	6200
19	GER	25-May-2012	BUL-ARG	0-3	16-25	18-25	21-25	NA	NA	55-75	1:13	1200
20	GER	25-May-2012	POR-GER	0-3	23-25	15-25	18-25	NA	NA	56-75	1:25	2000
21	GER	26-May-2012	POR-BUL	0-3	22-25	16-25	12-25	NA	NA	50-75	1:20	2500
22	GER	26-May-2012	GER-ARG	3-0	25-18	25-17	26-24	NA	NA	76-59	1:26	3100
23	GER	27-May-2012	ARG-POR	3-0	28-26	25-20	25-21	NA	NA	78-67	1:25	1600
24	GER	27-May-2012	GER-BUL	1-3	22-25	21-25	25-19	23-25	NA	91-94	2:07	3800
25	DOM	15-Jun-2012	SRB-RUS	3-1	25-23	20-25	25-20	25-23	NA	95-91	1:57	900
26	DOM	15-Jun-2012	CUB-JPN	3-1	25-21	25-20	22-25	25-21	NA	97-87	2:00	1100
27	DOM	16-Jun-2012	JPN-RUS	0-3	22-25	15-25	19-25	NA	NA	56-75	1:30	500
28	DOM	16-Jun-2012	SRB-CUB	0-3	19-25	19-25	23-25	NA	NA	61-75	1:25	1100
29	DOM	17-Jun-2012	JPN-SRB	0-3	21-25	23-25	23-25	NA	NA	67-75	1:30	600
30	DOM	17-Jun-2012	CUB-RUS	3-1	26-24	21-25	25-22	25-17	NA	97-88	2:03	1700
31	POL	01-Jun-2012	POL-CAN	3-0	28-26	25-18	25-20	NA	NA	78-64	1:40	8800
32	POL	01-Jun-2012	BRA-FIN	3-0	25-13	25-14	25-14	NA	NA	75-41	1:18	6400
33	POL	02-Jun-2012	POL-FIN	3-0	26-24	25-18	25-18	NA	NA	76-60	1:31	10720
34	POL	02-Jun-2012	BRA-CAN	3-1	23-25	25-18	25-23	25-15	NA	98-81	1:54	8323
35	POL	03-Jun-2012	FIN-CAN	3-2	25-23	25-19	23-25	26-28	15-8	114-103	2:29	9850
36	POL	03-Jun-2012	POL-BRA	3-2	26-24	23-25	25-23	23-25	15-10	112-107	2:35	11000
37	FRA	15-Jun-2012	FRA-KOR	3-1	21-25	25-15	31-29	25-16	NA	102-85	1:58	1050
38	FRA	15-Jun-2012	ITA-USA	0-3	28-30	26-28	22-25	NA	NA	76-83	1:49	900
39	FRA	16-Jun-2012	USA-KOR	3-1	22-25	25-23	27-25	25-16	NA	99-89	2:02	1160
40	FRA	16-Jun-2012	FRA-ITA	3-1	25-17	22-25	25-23	25-20	NA	97-85	2:05	2000
41	FRA	17-Jun-2012	ITA-KOR	2-3	25-22	26-24	24-26	15-25	11-15	101-112	2:20	650
42	FRA	17-Jun-2012	FRA-USA	1-3	25-20	22-25	19-25	21-25	NA	87-95	2:12	1200
43	ARG	15-Jun-2012	POR-GER	1-3	17-25	20-25	25-23	19-25	NA	81-98	1:55	550
44	ARG	15-Jun-2012	ARG-BUL	3-1	25-22	24-26	25-21	25-17	NA	99-86	1:58	2200
45	ARG	16-Jun-2012	POR-BUL	1-3	19-25	12-25	25-18	20-25	NA	76-93	1:56	830
46	ARG	16-Jun-2012	ARG-GER	0-3	19-25	23-25	23-25	NA	NA	65-75	1:29	3900
47	ARG	17-Jun-2012	GER-BUL	2-3	19-25	25-14	25-19	23-25	14-16	106-99	2:12	700
48	ARG	17-Jun-2012	ARG-POR	3-1	23-25	25-21	25-19	25-23	NA	98-88	1:59	2650
49	RUS	22-Jun-2012	SRB-CUB	1-3	25-20	16-25	19-25	23-25	NA	83-95	1:40	1205
50	RUS	22-Jun-2012	RUS-JPN	3-0	25-18	25-22	25-22	NA	NA	75-62	1:25	5038
51	RUS	23-Jun-2012	JPN-CUB	1-3	25-23	17-25	20-25	21-25	NA	83-98	1:50	1158
52	RUS	23-Jun-2012	RUS-SRB	3-2	25-21	21-25	23-25	25-23	15-12	109-106	2:18	5715
53	RUS	24-Jun-2012	SRB-JPN	3-2	23-25	25-19	19-25	25-19	15-10	107-98	2:09	1250
54	RUS	24-Jun-2012	CUB-RUS	3-1	25-23	25-22	24-26	25-20	NA	99-91	1:55	6740
55	BRA	08-Jun-2012	BRA-FIN	3-0	25-21	25-22	25-9	NA	NA	75-52	1:24	5460
56	BRA	08-Jun-2012	CAN-POL	0-3	20-25	20-25	18-25	NA	NA	58-75	1:30	1590
57	BRA	09-Jun-2012	BRA-CAN	3-0	25-22	25-17	25-11	NA	NA	75-50	1:23	5670
58	BRA	09-Jun-2012	POL-FIN	3-1	23-25	25-17	25-19	25-13	NA	98-74	1:57	1210
59	BRA	10-Jun-2012	BRA-POL	3-1	26-24	25-17	23-25	25-23	NA	99-89	2:05	5700
60	BRA	10-Jun-2012	FIN-CAN	3-0	25-19	25-22	26-24	NA	NA	76-65	1:39	685
61	KOR	22-Jun-2012	KOR-FRA	1-3	21-25	25-23	16-25	15-25	NA	77-98	1:51	4870
62	KOR	22-Jun-2012	ITA-USA	1-3	25-22	21-25	27-29	16-25	NA	89-101	1:57	830
63	KOR	23-Jun-2012	KOR-ITA	2-3	15-25	22-25	25-21	25-22	13-15	100-108	2:10	4150
64	KOR	23-Jun-2012	FRA-USA	0-3	21-25	21-25	20-25	NA	NA	62-75	1:28	450
65	KOR	24-Jun-2012	KOR-USA	0-3	20-25	18-25	18-25	NA	NA	56-75	1:21	4950
66	KOR	24-Jun-2012	FRA-ITA	3-0	26-24	25-15	25-22	NA	NA	76-61	1:23	580
67	POR	22-Jun-2012	BUL-ARG	3-2	22-25	25-11	26-24	17-25	15-11	105-96	1:56	250
68	POR	22-Jun-2012	POR-GER	0-3	18-25	15-25	21-25	NA	NA	54-75	1:11	950
69	POR	23-Jun-2012	ARG-GER	0-3	20-25	19-25	18-25	NA	NA	57-75	1:21	300
70	POR	23-Jun-2012	POR-BUL	0-3	22-25	23-25	22-25	NA	NA	67-75	1:31	1500
71	POR	24-Jun-2012	GER-BUL	3-1	25-20	28-26	22-25	25-22	NA	100-93	2:05	400
72	POR	24-Jun-2012	ARG-POR	3-1	25-18	18-25	26-24	25-21	NA	94-88	2:01	1000
73	SRB	28-Jun-2012	JPN-RUS	2-3	25-20	26-24	19-25	17-25	11-15	98-109	2:00	450
74	SRB	28-Jun-2012	SRB-CUB	2-3	26-24	16-25	25-21	24-26	13-15	104-111	2:15	3000
75	SRB	29-Jun-2012	RUS-CUB	3-1	26-28	26-24	25-17	25-23	NA	102-92	1:54	300
76	SRB	29-Jun-2012	JPN-SRB	0-3	22-25	19-25	19-25	NA	NA	60-75	1:18	2000
77	SRB	30-Jun-2012	CUB-JPN	3-1	25-17	25-15	21-25	25-19	NA	96-76	1:40	300
78	SRB	30-Jun-2012	SRB-RUS	2-3	18-25	25-22	25-23	22-25	11-15	101-110	2:05	3500
79	FIN	15-Jun-2012	BRA-CAN	3-2	22-25	25-19	25-14	19-25	15-9	106-92	2:13	2900
80	FIN	15-Jun-2012	FIN-POL	0-3	16-25	24-26	19-25	NA	NA	59-76	1:33	4010
81	FIN	16-Jun-2012	CAN-POL	0-3	24-26	22-25	23-25	NA	NA	69-76	1:37	3625
82	FIN	16-Jun-2012	FIN-BRA	0-3	22-25	18-25	23-25	NA	NA	63-75	1:34	5014
83	FIN	17-Jun-2012	POL-BRA	3-1	25-22	25-23	21-25	25-22	NA	96-92	2:00	2970
84	FIN	17-Jun-2012	FIN-CAN	1-3	25-21	20-25	18-25	20-25	NA	83-96	2:08	3055
85	USA	29-Jun-2012	FRA-ITA	3-2	29-31	25-23	25-18	21-25	15-12	115-109	2:21	500
86	USA	29-Jun-2012	USA-KOR	3-0	32-30	26-24	25-22	NA	NA	83-76	1:37	2028
87	USA	30-Jun-2012	ITA-KOR	3-2	25-16	20-25	25-21	27-29	15-12	112-103	2:06	1428
88	USA	30-Jun-2012	USA-FRA	2-3	20-25	25-22	25-23	23-25	13-15	106-110	2:19	3853
89	USA	01-Jul-2012	FRA-KOR	3-0	25-19	25-15	25-17	NA	NA	75-51	1:14	1498
90	USA	01-Jul-2012	USA-ITA	3-2	26-28	25-20	24-26	25-17	15-10	115-101	2:17	5139
91	BUL	29-Jun-2012	ARG-GER	0-3	16-25	21-25	21-25	NA	NA	58-75	1:15	300
92	BUL	29-Jun-2012	BUL-POR	3-1	21-25	25-18	25-20	25-21	NA	96-84	1:54	2040
93	BUL	30-Jun-2012	POR-GER	0-3	19-25	18-25	20-25	NA	NA	57-75	1:28	380
94	BUL	30-Jun-2012	ARG-BUL	2-3	19-25	25-21	26-24	11-25	12-15	93-110	2:15	5000
95	BUL	01-Jul-2012	POR-ARG	2-3	14-25	25-17	21-25	25-19	9-15	94-101	2:06	402
96	BUL	01-Jul-2012	GER-BUL	3-2	25-16	24-26	25-23	25-27	17-15	116-107	2:30	5850
97	BUL	04-Jul-2012	CUB-BRA	3-0	25-19	26-24	25-22	NA	NA	76-65	1:29	6000
98	BUL	04-Jul-2012	BUL-GER	3-1	26-28	25-19	29-27	25-19	NA	105-93	2:08	12300
99	BUL	05-Jul-2012	BRA-POL	2-3	25-23	23-25	25-23	17-25	10-15	100-111	2:22	3000
100	BUL	05-Jul-2012	GER-USA	3-2	20-25	25-21	21-25	25-20	16-14	107-105	2:20	3000
101	BUL	06-Jul-2012	POL-CUB	3-0	25-23	25-20	25-23	NA	NA	75-66	1:27	3500
102	BUL	06-Jul-2012	USA-BUL	3-0	25-21	25-16	25-17	NA	NA	75-54	1:24	10500
103	BUL	07-Jul-2012	POL-BUL	3-0	25-23	25-20	25-18	NA	NA	75-61	1:26	11000
104	BUL	07-Jul-2012	USA-CUB	3-0	25-23	25-22	25-23	NA	NA	75-68	1:33	4000
105	BUL	08-Jul-2012	CUB-BUL	3-2	25-18	19-25	23-25	25-23	15-12	107-103	2:15	7000
106	BUL	08-Jul-2012	POL-USA	3-0	25-17	26-24	25-20	NA	NA	76-61	1:29	4000
