Country	ARG_W ARG_L BRA_W BRA_L CHN_W CHN_L CUB_W CUB_L EGY_W EGY_L IRI_W IRI_L ITA_W ITA_L JPN_W JPN_L POL_W POL_L RUS_W RUS_L SRB_W SRB_L USA_W USA_L
ARG - - 0 4 2 0 0 2 3 0 0 0 0 2 0 4 0 0 0 3 0 0 0 4
BRA 4 0 - - 4 1 3 3 4 0 1 0 2 3 7 3 2 1 1 7 1 0 4 4
CHN 0 2 1 4 - - 0 4 2 0 0 0 1 3 1 4 0 2 0 2 0 1 0 3
CUB 2 0 3 3 4 0 - - 2 0 1 0 3 1 5 3 2 1 1 4 0 0 2 2
EGY 0 3 0 4 0 2 0 2 - - 0 0 0 2 0 4 0 0 0 2 0 1 0 5
IRI 0 0 0 1 0 0 0 1 0 0 - - 0 0 0 0 0 0 0 0 0 0 0 0
ITA 2 0 3 2 3 1 1 3 2 0 0 0 - - 4 1 0 1 1 2 0 1 3 1
JPN 4 0 3 7 4 1 3 5 4 0 0 0 1 4 - - 1 3 2 7 0 1 1 7
POL 0 0 1 2 2 0 1 2 0 0 0 0 1 0 3 1 - - 1 3 0 0 0 0
RUS 3 0 7 1 2 0 4 1 2 0 0 0 2 1 7 2 3 1 - - 0 0 3 2
SRB 0 0 0 1 1 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 - - 1 0
USA 4 0 4 4 3 0 2 2 5 0 0 0 1 3 7 1 0 0 2 3 0 1 - -
