Country ARG_W ARG_L BRA_W BRA_L BUL_W BUL_L CHN_W CHN_L CUB_W CUB_L EGY_W EGY_L FIN_W FIN_L FRA_W FRA_L GER_W GER_L ITA_W ITA_L KOR_W KOR_L NED_W NED_L POL_W POL_L RUS_W RUS_L SRB_W SRB_L USA_W USA_L
ARG - - 0 18 0 8 0 4 2 7 0 0 3 1 7 5 0 0 4 9 2 2 0 4 2 10 0 0 4 8 0 0
BRA 18 0 - - 11 3 1 0 10 10 0 0 11 1 15 3 10 2 12 12 8 1 11 3 14 4 17 10 14 3 21 7
BUL 8 0 3 11 - - 4 0 10 13 4 0 2 2 4 5 0 0 7 10 9 0 8 6 3 5 3 7 4 3 7 1
CHN 4 0 0 1 0 4 - - 3 6 3 1 4 0 0 4 0 0 3 26 5 3 2 11 1 7 1 25 1 7 2 6
CUB 7 2 10 10 13 10 6 3 - - 8 0 4 0 12 4 9 3 6 21 25 0 15 12 1 1 16 22 6 12 2 2
EGY 0 0 0 0 0 4 1 3 0 8 - - 0 0 0 0 0 0 0 0 0 4 0 0 1 3 0 4 0 4 0 0
FIN 1 3 1 11 2 2 0 4 0 4 0 0 - - 0 0 0 0 0 4 5 3 0 4 3 1 0 0 0 0 0 4
FRA 5 7 3 15 5 4 4 0 4 12 0 0 0 0 - - 0 0 9 17 5 3 2 2 3 4 4 5 6 9 5 4
GER 0 0 2 10 0 0 0 0 3 9 0 0 0 0 0 0 - - 2 2 2 2 1 11 0 0 1 7 0 0 2 6
ITA 9 4 12 12 10 7 26 3 21 6 0 0 4 0 17 9 2 2 - - 16 1 21 6 4 1 16 16 8 10 10 8
KOR 2 2 1 8 0 9 3 5 0 25 4 0 3 5 3 5 2 2 1 16 - - 1 11 0 0 4 12 1 3 2 2
NED 4 0 3 11 6 8 11 2 12 15 0 0 4 0 2 2 11 1 6 21 11 1 - - 0 0 11 13 1 4 5 4
POL 10 2 4 14 5 3 7 1 1 1 3 1 1 3 4 3 0 0 1 4 0 0 0 0 - - 4 12 5 11 5 6
RUS 0 0 10 17 7 3 25 1 22 16 4 0 0 0 5 4 7 1 16 16 12 4 13 11 12 4 - - 10 3 10 5
SRB 8 4 3 14 3 4 7 1 12 6 4 0 0 0 9 6 0 0 10 8 3 1 4 1 11 5 3 10 - - 6 2
USA 0 0 7 21 1 7 6 2 2 2 0 0 4 0 4 5 6 2 8 10 2 2 4 5 6 5 5 10 2 6 - -
