Country ARG_W ARG_L BRA_W BRA_L BUL_W BUL_L CAN_W CAN_L CUB_W CUB_L FIN_W FIN_L FRA_W FRA_L GER_W GER_L IRI_W IRI_L ITA_W ITA_L JPN_W JPN_L KOR_W KOR_L NED_W NED_L POL_W POL_L POR_W POR_L RUS_W RUS_L SRB_W SRB_L USA_W USA_L
ARG - - 0 20 3 10 2 2 2 11 6 2 7 5 0 8 0 0 5 9 4 0 2 2 0 4 2 16 15 5 0 0 6 11 0 0
BRA 20 0 - - 15 3 13 3 12 11 15 1 15 3 10 2 0 0 12 12 12 1 12 1 15 7 19 8 19 1 19 11 15 3 24 9
BUL 10 3 3 15 - - 0 0 10 14 2 2 4 5 5 4 0 0 8 10 14 2 13 0 12 6 3 7 4 0 4 10 4 3 7 2
CAN 2 2 3 13 0 0 - - 1 7 3 5 1 3 4 0 0 0 0 4 0 0 1 3 4 8 0 4 0 0 0 0 1 3 0 0
CUB 11 2 11 12 14 10 7 1 - - 4 0 16 4 13 3 0 0 8 24 12 0 28 1 22 14 4 3 8 0 19 25 9 14 2 4
FIN 2 6 1 15 2 2 5 3 0 4 - - 0 0 0 0 0 0 0 4 0 0 5 3 0 4 4 4 5 3 1 3 2 2 1 7
FRA 5 7 3 15 5 4 3 1 4 16 0 0 - - 0 0 0 0 14 24 13 3 11 5 2 6 3 4 3 1 4 5 7 12 7 6
GER 8 0 2 10 4 5 0 4 3 13 0 0 0 0 - - 0 0 2 2 4 4 2 2 1 15 3 1 6 2 1 11 0 0 3 6
IRI 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 - - 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ITA 9 5 12 12 10 8 4 0 24 8 4 0 24 14 2 2 0 0 - - 10 2 23 2 23 7 5 1 4 0 16 17 10 12 11 11
JPN 0 4 1 12 2 14 0 0 0 12 0 0 3 13 4 4 2 0 2 10 - - 3 7 0 4 1 11 5 3 5 38 1 15 4 16
KOR 2 2 1 12 0 13 3 1 1 28 3 5 5 11 2 2 0 0 2 23 7 3 - - 1 15 0 0 0 0 4 12 1 3 2 6
NED 4 0 7 15 6 12 8 4 14 22 4 0 6 2 15 1 0 0 7 23 4 0 15 1 - - 0 0 2 0 11 14 1 4 7 5
POL 16 2 8 19 7 3 4 0 3 4 4 4 4 3 1 3 0 0 1 5 11 1 0 0 0 0 - - 3 1 4 13 5 11 8 8
POR 5 15 1 19 0 4 0 0 0 8 3 5 1 3 2 6 0 0 0 4 3 5 0 0 0 2 1 3 - - 0 0 1 7 0 0
RUS 0 0 11 19 10 4 0 0 25 19 3 1 5 4 11 1 0 0 17 16 38 5 12 4 11 13 13 4 0 0 - - 14 4 14 6
SRB 11 6 3 15 3 4 3 1 14 9 2 2 12 7 0 0 0 0 12 10 15 1 3 1 4 1 11 5 7 1 4 14 - - 6 2
USA 0 0 9 24 2 7 0 0 4 2 7 1 6 7 6 3 0 0 11 11 16 4 6 2 5 7 8 8 0 0 6 14 2 6 - -
