Country ARG_W ARG_L BRA_W BRA_L BUL_W BUL_L CAN_W CAN_L CUB_W CUB_L FIN_W FIN_L FRA_W FRA_L GER_W GER_L ITA_W ITA_L JPN_W JPN_L KOR_W KOR_L POL_W POL_L POR_W POR_L RUS_W RUS_L SRB_W SRB_L USA_W USA_L
ARG - - 0 20 1 8 2 2 2 11 6 2 7 5 0 4 5 9 4 0 2 2 2 16 11 5 0 0 6 11 0 0
BRA 20 0 - - 15 3 10 2 12 10 11 1 15 3 10 2 12 12 12 1 12 1 18 4 19 1 19 11 15 3 24 9
BUL 8 1 3 15 - - 0 0 10 13 2 2 4 5 2 2 8 10 14 2 13 0 3 6 0 0 4 10 4 3 7 1
CAN 2 2 2 10 0 0 - - 1 7 1 3 1 3 4 0 0 4 0 0 1 3 0 0 0 0 0 0 1 3 0 0
CUB 11 2 10 12 13 10 7 1 - - 4 0 16 4 13 3 8 24 8 0 28 1 4 2 8 0 16 24 6 13 2 3
FIN 2 6 1 11 2 2 3 1 0 4 - - 0 0 0 0 0 4 0 0 5 3 3 1 5 3 1 3 2 2 1 7
FRA 5 7 3 15 5 4 3 1 4 16 0 0 - - 0 0 11 23 13 3 7 5 3 4 3 1 4 5 7 12 5 4
GER 4 0 2 10 2 2 0 4 3 13 0 0 0 0 - - 2 2 4 4 2 2 3 1 2 2 1 11 0 0 2 6
ITA 9 5 12 12 10 8 4 0 24 8 4 0 23 11 2 2 - - 10 2 20 1 5 1 4 0 16 17 10 12 10 8
JPN 0 4 1 12 2 14 0 0 0 8 0 0 3 13 4 4 2 10 - - 3 7 1 11 5 3 5 34 1 11 4 16
KOR 2 2 1 12 0 13 3 1 1 28 3 5 5 7 2 2 1 20 7 3 - - 0 0 0 0 4 12 1 3 2 2
POL 16 2 4 18 6 3 0 0 2 4 1 3 4 3 1 3 1 5 11 1 0 0 - - 3 1 4 13 5 11 7 8
POR 5 11 1 19 0 0 0 0 0 8 3 5 1 3 2 2 0 4 3 5 0 0 1 3 - - 0 0 1 7 0 0
RUS 0 0 11 19 10 4 0 0 24 16 3 1 5 4 11 1 17 16 34 5 12 4 13 4 0 0 - - 11 3 14 6
SRB 11 6 3 15 3 4 3 1 13 6 2 2 12 7 0 0 12 10 11 1 3 1 11 5 7 1 3 11 - - 6 2
USA 0 0 9 24 1 7 0 0 3 2 7 1 4 5 6 2 8 10 16 4 2 2 8 7 0 0 6 14 2 6 - -
