Country ARG_W ARG_L AUS_W AUS_L BRA_W BRA_L BEL_W BEL_L BUL_W BUL_L CAN_W CAN_L CHN_W CHN_L CUB_W CUB_L CZE_W CZE_L ESP_W ESP_L FIN_W FIN_L FRA_W FRA_L GER_W GER_L IRI_W IRI_L ITA_W ITA_L JPN_W JPN_L KOR_W KOR_L MEX_W MEX_L NED_W NED_L POL_W POL_L POR_W POR_L PUR_W PUR_L RUS_W RUS_L SRB_W SRB_L SVK_W SVK_L TUN_W TUN_L TUR_W TUR_L USA_W USA_L
ARG - - 0 0 0 22 0 0 3 13 2 2 0 4 2 11 0 0 3 5 6 2 7 7 0 8 0 0 5 10 4 0 2 2 0 0 0 4 2 18 15 5 0 0 0 0 6 11 0 0 0 0 0 0 1 1
AUS 0 0 - - 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0
BRA 22 0 0 0 - - 0 0 18 3 14 3 1 0 12 11 1 0 17 5 15 1 16 4 10 2 0 0 12 12 12 1 12 1 0 0 15 7 21 8 19 1 4 0 19 13 15 3 0 0 0 0 0 0 26 9
BEL 0 0 0 0 0 0 - - 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
BUL 13 3 0 0 3 18 0 0 - - 0 0 4 0 10 14 0 0 7 1 2 2 6 5 5 4 0 0 8 12 14 2 13 0 0 0 12 6 5 7 4 0 0 0 4 10 4 3 0 0 0 0 0 0 8 3
CAN 2 2 0 0 3 14 0 0 0 0 - - 0 0 1 7 0 0 1 3 5 5 1 3 4 0 0 0 0 4 2 0 3 3 0 0 5 9 0 4 1 1 2 0 1 0 1 3 1 1 0 0 0 0 0 0
CHN 4 0 0 0 0 1 0 0 0 4 0 0 - - 3 6 0 0 2 6 4 0 1 7 0 0 0 0 3 30 9 17 5 3 0 0 2 11 1 7 1 1 0 2 1 25 1 11 0 0 0 0 0 0 2 6
CUB 11 2 0 0 11 12 0 0 14 10 7 1 6 3 - - 0 0 8 5 4 0 16 4 13 5 0 2 8 26 12 0 28 1 0 0 22 14 4 3 8 0 0 0 20 26 9 16 0 0 0 0 0 0 2 4
CZE 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 - - 1 0 0 0 2 2 0 0 0 0 0 1 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
ESP 5 3 0 0 5 17 0 0 1 7 3 1 6 2 5 8 0 1 - - 2 2 0 4 0 0 0 0 2 10 0 0 2 2 0 0 4 2 3 5 3 1 0 0 1 6 1 4 0 0 0 0 0 0 3 9
FIN 2 6 0 0 1 15 0 0 2 2 5 5 0 4 0 4 0 0 2 2 - - 0 0 0 0 0 0 0 4 0 2 7 3 0 0 1 5 4 4 6 4 0 0 1 3 2 2 0 0 0 0 0 0 1 7
FRA 7 7 0 0 4 16 0 0 5 6 3 1 7 1 4 16 2 2 4 0 0 0 - - 0 0 0 0 14 24 13 3 11 5 0 0 2 6 5 4 3 1 0 0 4 5 7 12 0 0 0 0 0 0 7 8
GER 8 0 0 0 2 10 0 0 4 5 0 4 0 0 5 13 0 0 0 0 0 0 0 0 - - 1 1 2 4 4 4 2 2 0 0 1 15 3 1 6 2 0 0 2 12 1 1 0 0 0 0 0 0 3 6
IRI 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 1 - - 1 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 1 0 0 0 0 0 0 0 0
ITA 10 5 4 0 12 12 0 0 12 8 4 0 30 3 26 8 1 0 10 2 4 0 24 14 4 2 1 1 - - 10 2 23 2 0 0 23 7 5 1 4 0 0 0 17 19 11 13 0 0 0 0 0 0 11 11
JPN 0 4 0 0 1 12 0 0 2 14 0 2 17 9 0 12 0 4 0 0 2 0 3 13 4 4 0 2 2 10 - - 3 9 0 0 0 6 1 11 6 4 0 0 5 38 1 15 0 0 2 0 0 0 4 16
KOR 2 2 0 0 1 12 0 0 0 13 3 3 3 5 1 28 0 0 2 2 3 7 5 11 2 2 0 0 2 23 9 3 - - 0 0 1 17 0 0 2 0 0 0 4 12 1 3 0 0 0 0 0 0 2 6
MEX 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 - - 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
NED 4 0 0 0 7 15 0 0 6 12 9 5 11 2 14 22 0 0 2 4 5 1 6 2 15 1 0 0 7 23 6 0 17 1 0 0 - - 0 0 3 1 0 0 11 14 1 4 0 0 0 0 0 0 7 5
POL 18 2 4 0 8 21 0 0 7 5 4 0 7 1 3 4 0 0 5 3 4 4 4 5 1 3 0 0 1 5 11 1 0 0 0 0 0 0 - - 3 1 4 0 4 13 5 11 0 0 0 0 0 0 10 8
POR 5 15 0 0 1 19 0 0 0 4 1 1 1 1 0 8 0 0 1 3 4 6 1 3 2 6 0 0 0 4 4 6 0 2 0 0 1 3 1 3 - - 0 2 0 0 1 7 0 0 0 0 0 0 0 0
PUR 0 0 0 0 0 4 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 2 0 - - 0 0 0 0 0 0 0 0 0 0 0 4
RUS 0 0 4 0 13 19 0 0 10 4 0 1 25 1 26 20 0 0 6 1 3 1 5 4 12 2 2 0 19 17 38 5 12 4 0 0 14 11 13 4 0 0 0 0 - - 16 4 0 0 0 0 0 0 14 6
SRB 11 6 0 0 3 15 0 0 3 4 3 1 11 1 16 9 1 0 4 1 2 2 12 7 1 1 1 1 13 11 15 1 3 1 0 0 4 1 11 5 7 1 0 0 4 16 - - 0 0 0 0 0 0 6 2
SVK 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 - - 0 0 0 0 0 0
TUN 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 - - 0 0 0 0
TUR 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 - - 0 0
