Country ARG_W ARG_L BRA_W BRA_L BUL_W BUL_L CUB_W CUB_L FIN_W FIN_L FRA_W FRA_L GER_W GER_L ITA_W ITA_L JPN_W JPN_L KOR_W KOR_L POL_W POL_L POR_W POR_L PUR_W PUR_L RUS_W RUS_L SRB_W SRB_L USA_W USA_L
ARG - - 0 19 0 8 2 11 3 1 7 5 0 4 4 9 4 0 2 2 2 14 7 5 0 0 0 0 4 9 0 0
BRA 19 0 - - 15 3 11 10 11 1 15 3 10 2 12 12 12 1 12 1 14 4 19 1 0 0 19 9 15 3 21 7
BUL 8 0 3 15 - - 10 13 2 2 4 5 0 0 7 10 10 2 13 0 3 5 0 0 0 0 3 7 4 3 7 1
CUB 11 2 10 11 13 10 - - 4 0 12 4 13 3 7 21 8 0 25 0 4 2 8 0 0 0 16 23 6 13 2 2
FIN 1 3 1 11 2 2 0 4 - - 0 0 0 0 0 4 0 0 5 3 3 1 3 1 0 0 1 3 0 0 1 7
FRA 5 7 3 15 5 4 4 12 0 0 - - 0 0 10 20 13 3 5 3 3 4 3 1 0 0 4 5 7 12 5 4
GER 4 0 2 10 0 0 3 13 0 0 0 0 - - 2 2 1 3 2 2 3 1 2 2 0 0 1 7 0 0 2 6
ITA 9 4 12 12 10 7 21 7 4 0 20 10 2 2 - - 10 2 16 1 4 1 4 0 0 0 16 17 10 12 10 8
JPN 0 4 1 12 2 10 0 8 0 0 3 13 3 1 2 10 - - 3 7 1 11 5 3 0 0 5 30 1 11 4 16
KOR 2 2 1 12 0 13 0 25 3 5 3 5 2 2 1 16 7 3 - - 0 0 0 0 0 0 4 12 1 3 2 2
POL 14 2 4 14 5 3 2 4 1 3 4 3 1 3 1 4 11 1 0 0 - - 3 1 0 0 4 12 5 11 5 6
POR 5 7 1 19 0 0 0 8 1 3 1 3 2 2 0 4 3 5 0 0 1 3 - - 0 2 0 0 0 4 0 0
PUR 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 - - 0 0 0 0 0 0
RUS 0 0 9 19 7 3 23 16 3 1 5 4 7 1 17 16 30 5 12 4 12 4 0 0 0 0 - - 11 3 13 6
SRB 9 4 3 15 3 4 13 6 0 0 12 7 0 0 12 10 11 1 3 1 11 5 4 0 0 0 3 11 - - 6 2
USA 0 0 7 21 1 7 2 2 7 1 4 5 6 2 8 10 16 4 2 2 6 5 0 0 0 0 6 13 2 6 - -
