Country N 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014
BRA 25 3 5 5 1 3 2 5 5 5 3 3 1 2 1 1 1 1 1 4 1 1 2 6 2 2
ITA 25 1 1 1 3 1 1 2 1 4 1 1 2 4 3 2 7 6 9 7 7 6 6 11 3 3
CUB 24 - 2 2 4 2 3 4 2 1 2 8 5 13 13 7 3 7 7 10 4 4 8 3 13 21
RUS 23 4 3 6 2 6 4 3 3 2 4 2 3 1 7 - - 3 2 3 3 2 1 8 1 5
JPN 21 6 7 10 6 8 8 9 12 - - - 9 13 13 10 10 13 13 6 15 - 15 15 18 19
FRA 19 5 8 11 - - - - - - 7 7 5 7 10 5 10 2 6 10 9 12 12 7 10 10
NED 18 2 4 4 5 5 12 1 4 3 10 5 7 7 10 - - - - - 12 11 - - 14 12
USA 17 7 6 3 9 12 10 - - - - 6 9 - - - - 10 3 1 6 8 7 2 12 1
BUL 17 - - - - 4 5 8 6 7 - - - - 5 4 5 4 5 7 10 7 5 4 4 7
POL 17 - - - - - - - - 10 8 8 7 5 9 7 4 7 4 5 11 10 3 1 11 7
SRB 17 - - - - - - - 7 6 - 4 4 3 2 3 2 5 9 2 2 3 9 9 8 6
ARG 16 - - - - - - 7 8 9 6 8 13 9 - - 10 7 13 - 5 5 4 10 6 13
KOR 16 - 9 8 10 9 6 - 11 11 - - - - - - - 10 9 13 14 16 13 14 15 19
CHN 15 8 - 9 7 11 11 6 10 - - - - 9 - 10 - 13 9 7 13 15 - - - 23
ESP 12 - - - - - 7 10 9 8 5 11 9 5 5 7 - - - 13 - - - - - 25
GRE 10 - - - 11 7 9 11 - 12 - - 9 9 7 5 7 - - - - - - - - -
POR 11 - - - - - - - - - 10 - 13 13 13 10 5 13 - - - - 14 16 17 13
GER 11 - - 12 8 10 - - - - - - 13 9 10 - - - - - - 9 11 5 7 16
FIN 10 - - - 12 - - - - - - - - - - - - 10 7 10 8 13 10 13 16 16
CAN 8 - 10 7 - - - - - - 8 11 - - - - - - 13 - - - - 12 5 13
VEN 6 - - - - - - - - - - - 13 13 13 - 7 - - 13 16 - - - - -
EGY 4 - - - - - - - - - - - - - - - - 13 13 13 - 14 - - - -
CZE 2 - - - - - - - - - - - - - 4 - - - - - - - - - - 16
IRI 2 - - - - - - - - - - - - - - - - - - - - - - - 9 4
AUS 2 - - - - - - - - - 10 - - - - - - - - - - - - - - 9 
PUR 2 - - - - - - - - - - - - - - - - - - - - - 16 - - 27
BEL 1 - - - - - - - - - - - - - - - - - - - - - - - - 11
TUR 1 - - - - - - - - - - - - - - - - - - - - - - - - 22
SVK 1 - - - - - - - - - - - - - - - - - - - - - - - - 24
MEX 1 - - - - - - - - - - - - - - - - - - - - - - - - 25
TUN 1 - - - - - - - - - - - - - - - - - - - - - - - - 27
