Country N Matches_Played Matches_W Matches_L Matches_Percent Sets_Played Sets_W Sets_L Results_3_0 Results_3_1 Results_3_2 Results_2_3 Results_1_3 Results_0_3
BRA 20 328 258 70 78.7 1195 829 366 136 85 37 23 25 22
ITA 20 317 227 90 71.6 1211 767 444 106 73 48 26 40 24
RUS 18 301 206 95 68.4 1125 711 414 103 71 32 30 36 29
CUB 19 288 178 110 61.8 1084 633 451 85 62 31 31 46 33
SRB 12 184 115 69 62.5 709 421 288 53 43 19 29 20 21
BUL 12 171 102 69 59.6 642 366 276 51 33 18 20 20 29
CZE 1 17 10 7 58.8 66 36 30 3 5 2 2 2 3
POL 12 159 89 70 56.0 625 327 298 28 34 27 18 24 28
NED 15 231 127 104 55.0 865 466 399 62 43 22 23 39 42
FRA 14 185 88 97 47.6 729 349 380 28 31 29 27 34 36
USA 12 177 85 92 48.0 671 328 343 34 35 16 18 37 37
ESP 11 143 54 89 37.8 560 230 330 13 15 26 17 33 39
GRE 9 131 43 88 32.8 492 182 310 11 18 14 16 21 51
ARG 11 136 44 92 32.4 531 223 308 19 12 13 27 38 27
FIN 5 68 23 45 33.8 249 92 157 8 8 7 5 13 27
CAN 5 64 18 46 28.1 241 83 158 5 6 7 4 21 21
CHN 13 168 43 125 25.6 615 201 414 16 15 12 19 34 72
KOR 11 148 37 111 25.0 545 183 362 17 11 9 16 40 55
GER 6 80 20 60 25.0 307 102 205 2 11 7 9 24 27
JPN 17 218 54 164 24.8 806 262 544 16 24 14 21 58 85
POR 7 84 20 64 23.8 307 92 215 5 7 8 8 16 40
VEN 6 72 14 58 19.4 263 79 184 6 6 2 10 17 31
EGY 3 36 4 32 11.1 125 25 100 1 2 1 2 9 21
AUS 1 12 0 12 0.0 41 5 36 0 0 0 1 3 8
