Country N Matches_Played Matches_W Matches_L Matches_Percent Sets_Played Sets_W Sets_L Results_3_0 Results_3_1 Results_3_2 Results_2_3 Results_1_3 Results_0_3
BRA 21 344 273 71 79.40 1262 874 388 137 94 42 23 25 23
ITA 21 331 236 95 71.30 1267 802 465 111 75 50 30 40 25
RUS 19 317 219 98 69.10 1185 752 433 109 75 35 30 38 30
SRB 13 200 126 74 63.00 775 461 314 57 46 23 32 21 22
CUB 20 304 190 114 62.50 1149 674 475 89 66 35 33 47 34
BUL 13 183 110 73 60.10 685 396 289 58 34 18 22 22 29
CZE 1 17 10 7 58.80 66 36 30 3 5 2 2 2 3
POL 13 171 95 76 55.60 673 351 322 29 38 28 20 26 30
NED 16 243 132 111 54.30 906 485 421 66 44 22 24 41 46
USA 13 189 93 96 49.20 720 356 364 35 40 18 19 39 38
FRA 15 197 93 104 47.20 778 369 409 29 31 33 28 37 39
ESP 11 143 54 89 37.80 560 230 330 13 15 26 17 33 39
FIN 6 80 27 53 33.80 295 110 185 9 10 8 6 17 30
GRE 9 131 43 88 32.80 492 182 310 11 18 14 16 21 51
GER 7 92 27 65 29.30 354 128 226 4 15 8 10 27 28
ARG 12 150 44 106 29.30 588 238 350 19 12 13 31 45 30
CAN 5 64 18 46 28.10 241 83 158 5 6 7 4 21 21
JPN 17 218 54 164 24.80 806 262 544 16 24 14 21 58 85
CHN 14 180 44 136 24.40 660 212 448 16 16 12 22 36 78
POR 7 84 20 64 23.80 307 92 215 5 7 8 8 16 40
KOR 12 160 37 123 23.10 586 188 398 17 11 9 16 45 62
VEN 6 72 14 58 19.40 263 79 184 6 6 2 10 17 31
EGY 4 48 6 42 12.50 173 41 132 2 2 2 5 13 24
AUS 1 12 0 12 0.00 41 5 36 0 0 0 1 3 8
