Rank	Country	Points
1	BRA	220.0
2	RUS	170.0
3	ITA	156.0
4	USA	147.0
5	SRB	142.5
6	CUB	133.5
7	BUL	112.5
8	POL	109.5
9	ARG	102.5
10	CHN	68.5
11	GER	61.5
12	EGY	57.5
13	CMR	52.0
14	IRI	50.5
15	VEN	49.5
16	PUR	45.5
17	FRA	44.0
18	JPN	43.5
19	CAN	42.5
19	TUN	42.5
21	KOR	40.5
22	MEX	39.5
23	CZE	39.0
23	AUS	39.0
25	ESP	32.5
26	ALG	29.5
27	FIN	29.0
27	SVK	29.0
29	COL	27.0
30	IND	23.0
31	CHI	20.5
32	MAR	19.5
33	POR	19.5
34	TRI	18.5
35	NED	17.0
36	EST	16.0
36	SLO	16.0
36	ROM	16.0
39	RSA	15.5
40	PAN	15.0
40	BEL	15.0
42	DOM	14.5
43	CGO	14.0
44	TUR	13.5
44	THA	13.5
46	KAZ	13.0
46	BOT	13.0
46	CRC	13.0
46	PAK	13.0
50	INA	12.5
51	TPE	11.5
51	URU	11.5
53	BAR	11.0
53	BAH	11.0
53	QAT	11.0
53	LCA	11.0
53	BLR	11.0
58	NGR	10.5
59	PAR	10.0
59	GUA	10.0
59	SUR	10.0
59	ISV	10.0
59	GRE	10.0
59	UKR	10.0
59	LAT	10.0
59	CRO	10.0
67	MRI	9.0
67	KEN	9.0
67	DEN	9.0
67	JAM	9.0
67	AUT	9.0
67	MNE	9.0
73	MOZ	8.5
74	UAE	8.0
74	ZIM	8.0
74	ESA	8.0
77	ALB	7.0
77	AHO	7.0
77	OMA	7.0
77	TGA	7.0
77	NZL	7.0
77	BAN	7.0
77	HAI	7.0
77	HON	7.0
77	NCA	7.0
77	ANT	7.0
77	ISR	7.0
77	MLD	7.0
77	BIH	7.0
77	SWE	7.0
91	MDV	6.0
91	CAY	6.0
91	ARU	6.0
91	SAM	6.0
91	SKN	6.0
91	DMA	6.0
91	AGU	6.0
91	VIN	6.0
91	GRN	6.0
91	BIZ	6.0
91	HUN	6.0
91	AZE	6.0
91	GBR	6.0
104	NOR	5.0
104	IVB	5.0
104	MAC	5.0
104	ECU	5.0
104	BOL	5.0
104	MAW	5.0
104	FIJ	5.0
104	BER	5.0
104	MNE	5.0
104	SRI	5.0
114	UZB	2.0
114	AFG	2.0
114	TKM	2.0
117	LUX	1.0
117	AHO	1.0
117	GEO	1.0
117	MKD	1.0
121	GAB	0.5
121	RWA	0.5
123	PER	0.0
123	LBA	0.0
123	VIE	0.0
123	LIB	0.0
123	MYA	0.0
123	PHI	0.0
123	CYP	0.0
123	HKG	0.0
123	ENG	0.0
123	SUD	0.0
123	GHA	0.0
123	JOR	0.0
123	SCO	0.0
123	UGA	0.0
123	ERT	0.0
123	NIR	0.0
123	KSA	0.0
123	KUW	0.0
123	BRN	0.0
