Rank	Country	Points
1	BRA	210.0
2	RUS	156.0
3	SRB	149.5
4	CUB	141.5
5	USA	134.0
6	ITA	131.5
7	BUL	98.5
8	ARG	84.5
9	GER	72.5
10	POL	67.5
11	CHN	54.5
12	FRA	51.0
13	EGY	45.5
14	JPN	42.5
15	VEN	38.5
16	PUR	37.5
17	CMR	37.0
17	CZE	37.0
19	IRI	33.5
20	ESP	33.0
21	MEX	32.5
22	CAN	29.5
23	KOR	28.5
24	TUN	27.5
25	ALG	24.5
26	NED	23.5
26	AUS	23.5
28	FIN	20.5
29	DOM	19.5
30	MAR	18.5
31	COL	18.0
32	KAZ	17.0
33	PAN	16.5
33	SVK	16.5
35	ROM	15.5
36	POR	15.0
37	INA	14.5
37	IND	14.5
39	EST	14.0
39	SLO	14.0
41	CHI	13.5
41	BEL	13.5
43	RSA	13.0
44	BAR	12.5
45	TPE	12.0
46	GRE	11.5
46	TUR	11.5
46	THA	11.5
49	BOT	10.5
49	BLR	10.5
49	NGR	10.5
52	PAR	10.0
52	BAH	10.0
54	UKR	9.5
54	LAT	9.5
54	CRO	9.5
57	URU	9.0
57	QAT	9.0
57	GUA	9.0
57	MRI	9.0
57	KEN	9.0
57	SUR	9.0
57	ISV	9.0
64	DEN	8.5
64	MNE	8.5
64	TRI	8.5
64	MOZ	8.5
68	CRC	8.0
68	UAE	8.0
68	JAM	8.0
68	ZIM	8.0
68	PAK	8.0
73	AUT	7.5
73	ALB	7.5
75	AHO	7.0
75	OMA	7.0
75	TGA	7.0
75	NZL	7.0
75	BAN	7.0
75	ESA	7.0
75	HAI	7.0
82	ISR	6.5
82	MLD	6.5
82	BIH	6.5
82	MDV	6.5
82	SWE	6.5
87	LCA	6.0
87	HON	6.0
87	CAY	6.0
87	NCA	6.0
87	ARU	6.0
87	SAM	6.0
87	ANT	6.0
94	HUN	5.5
94	AZE	5.5
94	NOR	5.5
94	GBR	5.5
98	PER	5.0
98	LBA	5.0
98	SKN	5.0
98	IVB	5.0
98	DMA	5.0
98	MAC	5.0
98	AGU	5.0
98	ECU	5.0
98	BOL	5.0
98	MAW	5.0
98	FIJ	5.0
98	VIN	5.0
98	BER	5.0
98	GRN	5.0
98	MTS	5.0
98	BIZ	5.0
114	GAB	2.0
115	VIE	1.5
115	LIB	1.5
115	MYA	1.5
118	PHI	1.0
118	SRI	1.0
120	LUX	0.5
120	CYP	0.5
120	MKD	0.5
120	HKG	0.5
120	RWA	0.5
125	CGO	0.0
126	ENG	0.0
127	SUD	0.0
128	UZB	0.0
129	GHA	0.0
130	JOR	0.0
131	AFG	0.0
132	SCO	0.0
133	UGA	0.0
134	ERT	0.0
135	NIR	0.0
136	KSA	0.0
137	KUW	0.0
138	BRN	0.0
