Rank	Country	Points
1	BRA	172.50
2	RUS	135.50
3	USA	125.00
4	SRB	105.30
5	ITA	96.00
6	POL	91.30
7	BUL	90.80
8	CUB	73.30
9	ARG	65.00
10	CHN	60.00
11	GER	46.30
12	JPN	45.00
12	FRA	45.00
14	EGY	41.30
15	VEN	38.50
16	KOR	32.50
17	PUR	31.80
18	IRI	31.30
19	ALG	30.50
20	CAN	27.00
21	CMR	26.00
22	TUN	20.80
22	MAR	20.80
24	COL	19.80
25	KAZ	18.50
26	MEX	17.50
27	NED	15.00
28	CHI	14.80
29	INA	13.00
30	PER	11.50
31	AUS	11.00
32	DOM	10.80
33	FIN	10.50
34	GRE	10.30
35	LBA	10.00
36	CZE	8.80
37	ESP	8.30
37	RSA	8.30
39	TPE	8.00
40	PAN	7.80
41	BAR	7.30
42	POR	7.00
42	URU	7.00
44	BOT	6.30
45	TUR	5.80
46	IND	5.50
47	SVK	5.30
48	EST	5.00
49	THA	4.80
50	SLO	4.50
51	UKR	4.30
51	QAT	4.30
53	PHI	3.80
53	GAB	3.80
55	DEN	3.50
55	LAT	3.50
55	ROM	3.50
58	TRI	3.30
58	CRO	3.30
58	AUT	3.30
61	PAR	3.00
61	VIE	3.00
61	LIB	3.00
61	MYA	3.00
65	ALB	2.80
65	BLR	2.80
65	HUN	2.80
68	GUA	2.50
68	BEL	2.50
68	AZE	2.50
68	ISR	2.50
72	CGO	2.30
72	CRC	2.30
72	ENG	2.30
72	MLD	2.30
72	NOR	2.30
72	BIH	2.30
72	MDV	2.30
79	SUD	2.00
79	UAE	2.00
79	UZB	2.00
79	JAM	2.00
79	LCA	2.00
79	SRI	2.00
85	GHA	1.80
85	JOR	1.80
85	AHO	1.80
85	SKN	1.80
89	AFG	1.50
89	IVB	1.50
89	DMA	1.50
89	HON	1.50
89	MAC	1.50
89	MRI	1.50
89	OMA	1.50
89	SCO	1.50
89	UGA	1.50
98	AGU	1.30
98	CAY	1.30
98	ECU	1.30
98	ERT	1.30
98	NCA	1.30
98	NIR	1.30
98	TGA	1.30
105 	LUX	1.00
105	GBR	1.00
105	SWE	1.00
105	MNE	1.00
105	CYP	1.00
105	MKD	1.00
105	HKG	1.00
112	RWA	0.80
112	MOZ	0.80
112	NGR	0.80
115	KEN	0.00
115	KSA	0.00
115	ZIM	0.00
115	PAK	0.00
115	KUW	0.00
115	BRN	0.00
115	NZL	0.00
115	ARU	0.00
